#,Country_Other,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Tests,Population
104,Montenegro,"280002","2781","276154","1067","2624193","627950"
105,Algeria,"270668","6879","182306","81483","230861","45350148"
106,Nigeria,"265382","3155","258381","3846","5441162","216746934"
107,Zimbabwe,"257409","5602","251281",526,"2511501","15331428"
108,China,"250449","5226","242254","2969","160000000","1448471400"
109,Uzbekistan,"244199","1637","241486","1076","1377915","34382084"
110,Mozambique,"230219","2221","227882",116,"1371127","33089461"
111,Brunei,"226237",225,"222140","3872","717784","445431"
112,Martinique,"221618","1044",,,"828928","374087"
113,Laos,"215843",758,,,"1233207","7481023"
114,Kyrgyzstan,"206083","2991","196406","6686","1907195","6728271"
115,Iceland,"205637",213,,,"1996384","345393"
116,El Salvador,"201785","4229","179410","18146","2610114","6550389"
117,Afghanistan,"199067","7799","177850","13418","1103716","40754388"
118,Guadeloupe,"192801",989,,,"938039","399794"
119,Maldives,"185042",308,"163687","21047","2213831","540985"
120,Trinidad and Tobago,"182597","4195","174214","4188","834508","1406585"
121,Uganda,"169396","3628","100431","65337","3012408","48432863"
122,Namibia,"169253","4065","164813",375,"1062663","2633874"
123,Ghana,"169100","1459","167307",334,"2504017","32395450"
124,Jamaica,"151829","3317","99239","49273","1183986","2985094"
125,Cambodia,"137870","3056","134745",69,"3069567","17168639"
126,Rwanda,"132498","1466","130955",77,"5816624","13600464"
127,Cameroon,"121652","1935","118616","1101","1751774","27911548"
128,Malta,"114652",806,"113195",651,"2060900","444033"
129,Angola,"103131","1917","101155",59,"1499795","35027343"
130,Barbados,"102546",559,"101760",227,"765378","288023"
131,French Guiana,"93974",410,"11254","82310","651257","314169"
132,DRC,"92852","1442","83504","7906","846704","95240792"
133,Channel Islands,"91561",202,"90639",720,"1252808","176463"
134,Senegal,"88373","1968","86297",108,"1146543","17653671"
135,Malawi,"88024","2682","84872",470,"616772","20180839"
136,Ivory Coast,"87208",826,"86338",44,"1628106","27742298"
137,Suriname,"81106","1385",,,"239178","596831"
138,French Polynesia,"76599",649,,,,"284164"
139,New Caledonia,"74152",314,"73823",15,"98964","290915"
140,Eswatini,"73390","1422","71955",13,"1045903","1184817"
141,Guyana,"71336","1281","69977",78,"695695","794045"
142,Belize,"68826",683,"68079",64,"576016","412190"
143,Fiji,"68242",878,"66302","1062","662620","909466"
144,Madagascar,"66676","1410","65242",24,"512993","29178077"
145,Sudan,"63285","4961","57290","1034","562941","45992020"
146,Mauritania,"62812",995,"61789",28,"970892","4901981"
147,Cabo Verde,"62371",410,"61890",71,"401622","567678"
148,Bhutan,"61730",21,"61564",145,"2303734","787941"
149,Syria,"57299","3163","54078",58,"146269","19364809"
150,Burundi,"50129",38,"49559",532,"345742","12624840"
151,Gabon,"48691",306,"48292",93,"1616256","2331533"
152,Seychelles,"47141",169,"46446",526,,"99426"
153,Andorra,"46227",155,"46011",61,"249838","77463"
154,Curaçao,"45127",282,"44720",125,"496693","165529"
155,Papua New Guinea,"44997",668,"43982",347,"249149","9292169"
156,Aruba,"42914",227,"42438",249,"177885","107609"
157,Mauritius,"40461","1024","38786",651,"358675","1274727"
158,Mayotte,"40243",187,,,"176919","286259"
159,Tanzania,"39440",845,,,,"63298550"
160,Togo,"39034",285,"38528",221,"791865","8680837"
161,Isle of Man,"38008",116,,,"150753","85732"
162,Guinea,"37652",449,"36880",323,"660107","13865691"
163,Bahamas,"37267",833,"36070",364,"248846","400516"
164,Faeroe Islands,"34658",28,,,"778000","49233"
165,Lesotho,"34490",706,"25980","7804","431221","2175699"
166,Haiti,"33733",857,"31307","1569","132422","11680283"
167,Mali,"32625",742,"31591",292,"759178","21473764"
168,Cayman Islands,"30661",32,"8553","22076","222773","67277"
169,Saint Lucia,"29408",391,"28475",542,"210354","185113"
170,Benin,"27638",163,"27322",153,"604310","12784726"
171,Somalia,"27214","1352","13182","12680","400466","16841795"
172,Congo,"24837",386,"24006",445,"347815","5797805"
173,Timor-Leste,"23253",138,"23102",13,"278529","1369429"
174,Burkina Faso,"21631",387,"21143",101,"248995","22102838"
175,Solomon Islands,"21544",153,"16357","5034","5117","721159"
176,San Marino,"20763",118,"20524",121,"157634","34085"
177,Gibraltar,"20092",108,"16579","3405","534283","33704"
178,Liechtenstein,"19713",86,"19403",224,"102174","38387"
179,Grenada,"19536",237,"19248",51,"179808","113475"
180,Nicaragua,"18491",225,"4225","14041",,"6779100"
181,Bermuda,"18154",148,"17969",37,"1006083","61939"
182,South Sudan,"17823",138,"17335",350,"410280","11618511"
183,Tajikistan,"17786",125,"17264",397,,"9957464"
184,Equatorial Guinea,"17012",183,"16690",139,"365697","1496662"
185,Tonga,"16182",12,"15638",532,"535009","107749"
186,Samoa,"15925",29,"1605","14291","187397","202239"
187,Dominica,"15747",74,"15651",22,"228799","72344"
188,Djibouti,"15690",189,"15427",74,"305941","1016097"
189,Marshall Islands,"15275",17,"15166",92,,"60057"
190,CAR,"14913",113,"14520",280,"81294","5016678"
191,Monaco,"14608",63,"14478",67,"78646","39783"
192,Gambia,"12508",372,"12028",108,"155686","2558482"
193,Saint Martin,"11978",63,"1399","10516","112382","39730"
194,Greenland,"11971",21,"2761","9189","164926","56973"
195,Yemen,"11935","2157","9124",654,"329592","31154867"
196,Vanuatu,"11930",14,"11894",22,"24976","321832"
197,Caribbean Netherlands,"11235",36,"10476",723,"30126","26647"
198,Sint Maarten,"10863",87,"10773",3,"62056","43966"
199,Eritrea,"10169",103,"10063",3,"23693","3662244"
200,Niger,"9931",312,"8890",729,"254538","26083660"
201,Micronesia,"9759",29,157,"9573","21923","117489"
202,Antigua and Barbuda,"9098",146,"8923",29,"18901","99509"
203,Guinea-Bissau,"8796",175,"8301",320,"145231","2063367"
204,Comoros,"8471",161,"8305",5,,"907419"
205,Liberia,"7961",294,"7636",31,"139824","5305117"
